lat,lon
1.04375,110.8163
1.04375,110.8205
1.04375,110.8246
1.04375,110.8788
1.04375,110.883
1.04792,110.8165
1.04792,110.8206
1.04792,110.8248
1.04792,110.879
1.04792,110.8831
1.04792,111.3082
1.04792,111.3124
1.04792,111.3332
1.04792,111.7916
1.04792,111.8083
1.05208,110.7999
1.05208,110.8041
1.05208,110.8083
1.05208,110.8208
1.05208,110.8249
1.05208,110.8791
1.05208,110.8833
1.05208,111.3334
1.05208,111.3375
1.05208,111.7876
1.05208,111.7918
1.05208,111.7959
1.05625,110.4333
1.05625,110.7917
1.05625,110.7959
1.05625,110.8001
1.05625,110.8042
1.05625,110.8084
1.05625,110.8126
1.05625,110.8167
1.05625,110.8209
1.05625,110.8251
1.05625,110.8834
1.05625,111.1126
1.05625,111.1168
1.05625,111.1376
1.05625,111.1418
1.05625,111.146
1.05625,111.1543
1.05625,111.1585
1.05625,111.3335
1.05625,111.3377
1.05625,111.7919
1.06042,110.7961
1.06042,110.8002
1.06042,110.8044
1.06042,110.8086
1.06042,110.8627
1.06042,110.8669
1.06042,110.8711
1.06042,110.8752
1.06042,111.1378
1.06042,111.142
1.06042,111.1461
1.06042,111.1503
1.06042,111.1544
1.06042,111.1586
1.06042,111.3336
1.06042,111.3378
1.06042,111.7879
1.06042,111.7921
1.06458,110.7754
1.06458,110.7795
1.06458,110.7837
1.06458,110.7879
1.06458,110.7962
1.06458,110.8004
1.06458,110.8045
1.06458,110.8087
1.06458,110.8587
1.06458,110.8629
1.06458,110.8671
1.06458,110.8712
1.06458,110.8754
1.06458,111.1338
1.06458,111.1379
1.06458,111.1546
1.06458,111.1588
1.06458,111.8756
1.06875,110.7672
1.06875,110.7713
1.06875,110.7755
1.06875,110.7797
1.06875,110.7839
1.06875,110.7964
1.06875,110.8005
1.06875,110.8047
1.06875,110.863
1.06875,110.8672
1.06875,110.8714
1.06875,110.8755
1.06875,111.1214
1.06875,111.1339
1.06875,111.1381
1.06875,111.1506
1.06875,111.1547
1.06875,111.1589
1.06875,111.1798
1.06875,111.1839
1.06875,111.2006
1.06875,111.3131
1.06875,111.3173
1.06875,111.8966
1.07292,110.7215
1.07292,110.7257
1.07292,110.7673
1.07292,110.7715
1.07292,110.7757
1.07292,110.7798
1.07292,110.784
1.07292,110.7882
1.07292,110.8465
1.07292,110.8507
1.07292,110.8549
1.07292,110.8632
1.07292,110.8673
1.07292,110.8715
1.07292,110.8757
1.07292,111.1216
1.07292,111.1549
1.07292,111.1591
1.07292,111.1632
1.07292,111.1882
1.07292,111.1924
1.07292,111.1966
1.07292,111.3091
1.07292,111.3133
1.07292,111.3174
1.07292,111.3216
1.07292,111.88
1.07292,111.8967
1.07708,110.7133
1.07708,110.7175
1.07708,110.7216
1.07708,110.7258
1.07708,110.73
1.07708,110.7758
1.07708,110.78
1.07708,110.8342
1.07708,110.8383
1.07708,110.8425
1.07708,110.8467
1.07708,110.8508
1.07708,110.855
1.07708,110.905
1.07708,110.9092
1.07708,110.9134
1.07708,111.1176
1.07708,111.1759
1.07708,111.1842
1.07708,111.1926
1.07708,111.1967
1.07708,111.2176
1.07708,111.3009
1.07708,111.3051
1.07708,111.3092
1.07708,111.3134
1.07708,111.3176
1.07708,111.3217
1.07708,111.551
1.07708,111.8802
1.07708,111.9052
1.07708,111.9094
1.08125,110.7135
1.08125,110.7176
1.08125,110.7218
1.08125,110.726
1.08125,110.7301
1.08125,110.8301
1.08125,110.8343
1.08125,110.8385
1.08125,110.8427
1.08125,110.8468
1.08125,110.851
1.08125,110.8552
1.08125,110.9052
1.08125,110.9343
1.08125,110.9385
1.08125,111.1469
1.08125,111.1635
1.08125,111.176
1.08125,111.3219
1.08125,111.3261
1.08125,111.3302
1.08125,111.4803
1.08125,111.5511
1.08542,110.6803
1.08542,110.6844
1.08542,110.7053
1.08542,110.7136
1.08542,110.7178
1.08542,110.7303
1.08542,110.7678
1.08542,110.772
1.08542,110.7761
1.08542,110.7803
1.08542,110.7845
1.08542,110.8303
1.08542,110.8345
1.08542,110.8386
1.08542,110.8428
1.08542,110.847
1.08542,110.8511
1.08542,110.8553
1.08542,110.8595
1.08542,110.9053
1.08542,110.9137
1.08542,110.9345
1.08542,110.9387
1.08542,111.0595
1.08542,111.0637
1.08542,111.0804
1.08542,111.147
1.08542,111.1554
1.08542,111.1595
1.08542,111.2179
1.08542,111.2804
1.08542,111.2846
1.08542,111.2887
1.08542,111.2929
1.08542,111.2971
1.08542,111.3012
1.08542,111.3054
1.08542,111.3096
1.08542,111.3137
1.08542,111.3221
1.08542,111.3262
1.08542,111.3304
1.08958,110.7138
1.08958,110.7179
1.08958,110.7513
1.08958,110.7554
1.08958,110.7596
1.08958,110.7638
1.08958,110.768
1.08958,110.7721
1.08958,110.7763
1.08958,110.7804
1.08958,110.7846
1.08958,110.7888
1.08958,110.8346
1.08958,110.8388
1.08958,110.843
1.08958,110.8471
1.08958,110.8513
1.08958,110.8555
1.08958,110.9055
1.08958,110.9096
1.08958,110.9138
1.08958,110.9346
1.08958,110.9388
1.08958,110.943
1.08958,110.9471
1.08958,111.0513
1.08958,111.0555
1.08958,111.0597
1.08958,111.0638
1.08958,111.068
1.08958,111.0722
1.08958,111.0763
1.08958,111.0805
1.08958,111.143
1.08958,111.1472
1.08958,111.1514
1.08958,111.1597
1.08958,111.1638
1.08958,111.168
1.08958,111.1722
1.08958,111.2722
1.08958,111.2764
1.08958,111.2805
1.08958,111.2847
1.08958,111.2889
1.08958,111.293
1.08958,111.2972
1.08958,111.3014
1.08958,111.3055
1.08958,111.3097
1.08958,111.3139
1.08958,111.318
1.08958,111.3222
1.08958,111.3264
1.08958,111.3306
1.08958,111.5181
1.08958,111.6723
1.09375,110.7097
1.09375,110.7139
1.09375,110.7181
1.09375,110.7223
1.09375,110.7264
1.09375,110.7389
1.09375,110.7431
1.09375,110.7473
1.09375,110.7514
1.09375,110.7556
1.09375,110.7598
1.09375,110.7639
1.09375,110.7681
1.09375,110.7723
1.09375,110.7764
1.09375,110.7806
1.09375,110.7848
1.09375,110.7889
1.09375,110.7973
1.09375,110.8389
1.09375,110.8431
1.09375,110.8473
1.09375,110.8514
1.09375,110.9015
1.09375,110.9056
1.09375,110.9098
1.09375,110.914
1.09375,110.9265
1.09375,110.9348
1.09375,110.939
1.09375,110.9431
1.09375,111.0515
1.09375,111.0556
1.09375,111.0598
1.09375,111.064
1.09375,111.0682
1.09375,111.0723
1.09375,111.0765
1.09375,111.0807
1.09375,111.114
1.09375,111.1307
1.09375,111.1348
1.09375,111.1432
1.09375,111.1473
1.09375,111.1515
1.09375,111.1557
1.09375,111.1682
1.09375,111.1765
1.09375,111.2682
1.09375,111.2724
1.09375,111.2765
1.09375,111.2807
1.09375,111.2849
1.09375,111.289
1.09375,111.2932
1.09375,111.2974
1.09375,111.3015
1.09375,111.3057
1.09375,111.3099
1.09375,111.314
1.09375,111.3182
1.09375,111.3224
1.09375,111.3265
1.09375,111.4932
1.09375,111.6641
1.09375,111.6683
1.09375,111.6724
1.09375,111.8808
1.09375,111.8891
1.09375,111.8933
1.09792,110.7099
1.09792,110.7141
1.09792,110.7182
1.09792,110.7224
1.09792,110.7266
1.09792,110.7308
1.09792,110.7349
1.09792,110.7391
1.09792,110.7432
1.09792,110.7474
1.09792,110.7516
1.09792,110.7558
1.09792,110.7599
1.09792,110.7641
1.09792,110.7682
1.09792,110.7724
1.09792,110.7766
1.09792,110.7807
1.09792,110.7849
1.09792,110.7891
