lat,lon
-3.89375,116.2204
-3.89375,116.2245
-3.89375,116.2287
-3.89375,116.2329
-3.89375,116.2371
-3.88958,115.0421
-3.88958,115.0462
-3.88958,115.2258
-3.88958,115.23
-3.88958,115.2342
-3.88958,115.2383
-3.88958,115.2425
-3.88958,115.2467
-3.88958,116.1237
-3.88958,116.1279
-3.88958,116.1321
-3.88958,116.1404
-3.88958,116.1446
-3.88958,116.1488
-3.88958,116.153
-3.88958,116.2073
-3.88958,116.2114
-3.88958,116.2156
-3.88958,116.2198
-3.88958,116.2281
-3.88958,116.2323
-3.88542,115.0373
-3.88542,115.0415
-3.88542,115.0499
-3.88542,115.054
-3.88542,115.1167
-3.88542,115.1208
-3.88542,115.125
-3.88542,115.2294
-3.88542,115.2336
-3.88542,115.2378
-3.88542,116.1148
-3.88542,116.119
-3.88542,116.1273
-3.88542,116.1357
-3.88542,116.1399
-3.88542,116.1482
-3.88542,116.215
-3.88542,116.2234
-3.88542,116.2276
-3.88542,116.2317
-3.88125,115.0409
-3.88125,115.0451
-3.88125,115.0618
-3.88125,115.066
-3.88125,115.0702
-3.88125,115.0994
-3.88125,115.1286
-3.88125,115.1328
-3.88125,115.1412
-3.88125,115.2247
-3.88125,115.2289
-3.88125,115.233
-3.88125,115.2372
-3.88125,115.2414
-3.88125,116.1184
-3.88125,116.1226
-3.88125,116.1309
-3.88125,116.1393
-3.88125,116.1435
-3.88125,116.1476
-3.88125,116.156
-3.88125,116.1602
-3.88125,116.1643
-3.88125,116.2145
-3.88125,116.2228
-3.88125,116.227
-3.87708,115.1239
-3.87708,115.1281
-3.87708,115.1322
-3.87708,115.1364
-3.87708,115.1406
-3.87708,115.1448
-3.87708,115.2241
-3.87708,115.2408
-3.87708,116.1345
-3.87708,116.1387
-3.87708,116.1429
-3.87708,116.1554
-3.87708,116.2055
-3.87708,116.2097
-3.87708,116.2139
-3.87708,116.2181
-3.87708,116.2222
-3.87292,115.0983
-3.87292,115.1191
-3.87292,115.1275
-3.87292,115.1317
-3.87292,115.1442
-3.87292,116.1298
-3.87292,116.134
-3.87292,116.1381
-3.87292,116.1423
-3.87292,116.1507
-3.87292,116.1548
-3.87292,116.159
-3.87292,116.2133
-3.87292,116.2175
-3.87292,116.2217
-3.86875,115.0476
-3.86875,115.0893
-3.86875,115.0935
-3.86875,115.1144
-3.86875,115.1269
-3.86875,115.1395
-3.86875,115.1436
-3.86875,116.1417
-3.86875,116.1877
-3.86875,116.2002
-3.86875,116.2086
-3.86875,116.2169
-3.86875,116.2211
-3.86875,116.2253
-3.86875,116.2294
-3.86875,116.2336
-3.86458,115.0888
-3.86458,115.1138
-3.86458,115.118
-3.86458,115.1222
-3.86458,115.1264
-3.86458,115.1305
-3.86458,115.1431
-3.86458,116.1245
-3.86458,116.1829
-3.86458,116.1871
-3.86458,116.1913
-3.86458,116.2122
-3.86458,116.2456
-3.86042,115.1383
-3.86042,115.1425
-3.86042,116.1239
-3.86042,116.2158
-3.86042,116.2199
-3.86042,116.245
-3.86042,116.2492
-3.85625,115.0876
-3.85625,116.2528
-3.85625,116.257
-3.85208,115.1121
-3.85208,115.1205
-3.85208,115.133
-3.85208,115.2458
-3.85208,115.2499
-3.85208,115.2541
-3.85208,116.1186
-3.85208,116.1228
-3.85208,116.1269
-3.85208,116.1311
-3.85208,116.2146
-3.84792,115.1116
-3.84792,115.1158
-3.84792,115.1199
-3.84792,115.1241
-3.84792,115.1283
-3.84792,115.2452
-3.84792,115.2494
-3.84792,115.2536
-3.84792,116.1264
-3.84792,116.1305
-3.84792,116.2141
-3.84375,114.9231
-3.84375,114.9482
-3.84375,115.1194
-3.84375,115.1236
-3.84375,115.1319
-3.84375,115.1361
-3.84375,115.2447
-3.84375,115.253
-3.84375,116.0966
-3.84375,116.1258
-3.84375,116.13
-3.84375,116.1676
-3.84375,116.1717
-3.84375,116.1801
-3.83958,114.6135
-3.83958,114.9225
-3.83958,114.9267
-3.83958,114.9351
-3.83958,114.9392
-3.83958,114.9434
-3.83958,114.9559
-3.83958,115.1272
-3.83958,115.1313
-3.83958,115.1564
-3.83958,115.1606
-3.83958,115.1647
-3.83958,115.2441
-3.83958,116.1252
-3.83958,116.1294
-3.83958,116.1336
-3.83958,116.1378
-3.83958,116.1545
-3.83958,116.1586
-3.83958,116.1628
-3.83958,116.167
-3.83958,116.1712
-3.83958,116.1753
-3.83958,116.1795
-3.83958,116.1837
-3.83958,116.1879
-3.83958,116.192
-3.83958,116.1962
-3.83958,116.2046
-3.83542,114.613
-3.83542,114.9136
-3.83542,114.922
-3.83542,114.9261
-3.83542,114.9303
-3.83542,114.9345
-3.83542,114.9387
-3.83542,114.9428
-3.83542,114.947
-3.83542,114.9554
-3.83542,114.9596
-3.83542,115.1349
-3.83542,115.1516
-3.83542,115.1558
-3.83542,115.1725
-3.83542,116.0954
-3.83542,116.0996
-3.83542,116.1247
-3.83542,116.1288
-3.83542,116.133
-3.83542,116.1372
-3.83542,116.1414
-3.83542,116.1539
-3.83542,116.1581
-3.83542,116.1622
-3.83542,116.1706
-3.83542,116.1748
-3.83542,116.1789
-3.83542,116.1873
-3.83542,116.1915
-3.83542,116.1957
-3.83542,116.1998
-3.83542,116.204
-3.83542,116.2082
-3.83125,114.6124
-3.83125,114.9172
